date,zoo_strict_ret,zoo_extended_ret,benchmark_ret,zoo_strict_net_ret,zoo_extended_net_ret,zoo_strict_turnover,zoo_extended_turnover,zoo_strict_cost,zoo_extended_cost,zoo_strict_nav,zoo_extended_nav,benchmark_nav,zoo_strict_net_nav,zoo_extended_net_nav
20231117,0.018843153055513845,0.007156016720591773,-0.0013740038472107585,0.018843153055513845,0.007156016720591773,0.0,0.0,0.0,0.0,1.0616754710269398,1.3548419012116308,0.7120604864289422,1.0616754710269398,1.3548419012116308
20231120,0.022148372548708384,0.012453035130522417,0.0030269675288938647,0.022148372548708384,0.012453035130522417,0.0,0.0,0.0,0.0,1.08518985488507,1.3717137950037228,0.7142158703999709,1.08518985488507,1.3717137950037228
20231121,0.0020287778078440207,0.005272945539561685,0.00137174211248281,0.0020287778078440207,0.005272945539561685,0.0,0.0,0.0,0.0,1.0873914639799585,1.378946767140643,0.7151955903868021,1.0873914639799585,1.378946767140643
20231122,-0.011465950873167688,-0.012581938222144116,-0.010684931506849127,-0.011465950873167688,-0.012581938222144116,0.0,0.0,0.0,0.0,1.0749234868740623,1.361596944104854,0.7075537744895186,1.0749234868740623,1.361596944104854
20231123,0.013447567450649506,0.009192118669015654,0.005261700360010835,0.013447567450649506,0.009192118669015654,0.0,0.0,0.0,0.0,1.0893785929680886,1.374112904794435,0.7112767104394772,1.0893785929680886,1.374112904794435
20231124,-0.010435292482747813,-0.013324848155157283,-0.00688705234159781,-0.010435292482747813,-0.013324848155157283,0.0,0.0,0.0,0.0,1.0780106087260224,1.355803058990007,0.706378110505321,1.0780106087260224,1.355803058990007
20231127,-0.012563910033634057,-0.00852111780102427,-0.006657420249653323,-0.012563910033634057,-0.00852111780102427,0.0,0.0,0.0,0.0,1.0644665804226856,1.344250101409364,0.701675454568531,1.0644665804226856,1.344250101409364
20231128,0.003172046561069599,0.005648446364703406,0.0011170064227870036,0.003172046561069599,0.005648446364703406,0.0,0.0,0.0,0.0,1.0678431179784889,1.3518430260079217,0.702459230557996,1.0678431179784889,1.3518430260079217
20231129,0.006549848212146799,-0.006836051171785731,-0.007531380753138084,0.006549848212146799,-0.006836051171785731,0.0,0.0,0.0,0.0,1.0748373283156336,1.34260175790591,0.6971687426291073,1.0748373283156336,1.34260175790591
20231130,-0.0026773356196767373,-0.006077776210656976,0.0011242270938729426,-0.0026773356196767373,-0.006077776210656976,0.0,0.0,0.0,0.0,1.071959628051176,1.3344417248813232,0.6979525186185723,1.071959628051176,1.3344417248813232
20231201,-0.0005705175132759802,0.008509874654673797,-0.003930376193149732,-0.0005705175132759802,0.008509874654673797,0.0,0.0,0.0,0.0,1.071348056309848,1.3457976566940302,0.695209302655445,1.071348056309848,1.3457976566940302
20231204,-0.009049852200085423,0.002265788289582415,-0.006764374295377795,-0.009049852200085423,0.002265788289582415,0.0,0.0,0.0,0.0,1.061652514745395,1.348846949264715,0.690506646718655,1.061652514745395,1.348846949264715
20231205,-0.016317742418932156,-0.01534913926613801,-0.018728717366628733,-0.016317742418932156,-0.01534913926613801,0.0,0.0,0.0,0.0,1.044328742471368,1.3281433095917456,0.6775743428924828,1.044328742471368,1.3281433095917456
20231206,-0.0036796824648580584,0.007480242908554268,0.0014459224985541308,-0.0036796824648580584,0.007480242908554268,0.0,0.0,0.0,0.0,1.0404859443101488,1.3380781441648633,0.678554062879314,1.0404859443101488,1.3380781441648633
20231207,-0.012336463315328249,-0.006063267207731959,-0.0025989026855328667,-0.012336463315328249,-0.006063267207731959,0.0,0.0,0.0,0.0,1.027650027628052,1.3299650188319656,0.6767905669030176,1.027650027628052,1.3299650188319656
20231208,-0.025920300067870074,-0.011085956055462684,0.002026635784597497,-0.025920300067870074,-0.011085956055462684,0.0,0.0,0.0,0.0,1.001013030547178,1.3152210850778918,0.6781621748845813,1.001013030547178,1.3152210850778918
20231211,0.007004334886241889,0.013979074434045148,0.006934412019647285,0.007004334886241889,0.013979074434045148,0.0,0.0,0.0,0.0,1.0080244610386224,1.3336066585234212,0.6828648308213711,1.0080244610386224,1.3336066585234212
20231212,0.008336644211024768,0.005692392837856155,0.0022955523672885114,0.008336644211024768,0.005692392837856155,0.0,0.0,0.0,0.0,1.0164280023263115,1.341198071514917,0.6844323828003012,1.0164280023263115,1.341198071514917
20231213,-0.013647538923438264,-0.007311148686873398,-0.01660463784712296,-0.013647538923438264,-0.007311148686873398,0.0,0.0,0.0,0.0,1.0025562616016905,1.3313923729955235,0.6730676309530588,1.0025562616016905,1.3313923729955235
